iter	Passed	Remaining
0	25	12913
1	41	10319
2	54	9075
3	72	8943
4	87	8632
5	103	8484
6	119	8409
7	134	8254
8	149	8180
9	165	8101
10	180	8044
11	197	8017
12	210	7878
13	226	7848
14	246	7967
15	262	7931
16	280	7976
17	294	7879
18	308	7812
19	321	7717
20	332	7584
21	345	7504
22	357	7411
23	368	7310
24	379	7204
25	390	7119
26	402	7057
27	415	7011
28	427	6947
29	438	6877
30	452	6838
31	464	6794
32	480	6806
33	498	6835
34	513	6818
35	527	6801
36	544	6813
37	557	6781
38	572	6764
39	586	6749
40	600	6726
41	613	6693
42	625	6645
43	640	6642
44	652	6600
45	664	6556
46	675	6508
47	687	6469
48	700	6445
49	715	6435
50	729	6425
51	742	6398
52	753	6353
53	764	6313
54	774	6270
55	786	6233
56	797	6198
57	809	6167
58	820	6131
59	831	6096
60	841	6056
61	853	6026
62	864	5998
63	874	5956
64	885	5925
65	899	5916
66	914	5907
67	926	5886
68	943	5891
69	954	5862
70	964	5830
71	976	5807
72	988	5779
73	998	5748
74	1010	5723
75	1021	5696
76	1033	5675
77	1043	5645
78	1054	5619
79	1070	5618
80	1082	5599
81	1093	5576
82	1106	5557
83	1121	5553
84	1135	5545
85	1154	5558
86	1177	5590
87	1197	5604
88	1214	5606
89	1231	5609
90	1249	5617
91	1264	5608
92	1279	5597
93	1292	5581
94	1304	5562
95	1319	5551
96	1334	5544
97	1348	5532
98	1365	5532
99	1379	5519
100	1391	5497
101	1406	5488
102	1421	5477
103	1433	5459
104	1448	5450
105	1462	5434
106	1474	5416
107	1487	5397
108	1502	5389
109	1515	5374
110	1530	5364
111	1546	5357
112	1559	5341
113	1575	5335
114	1590	5325
115	1604	5312
116	1617	5293
117	1630	5279
118	1643	5263
119	1655	5243
120	1666	5219
121	1678	5199
122	1689	5177
123	1701	5160
124	1715	5146
125	1728	5131
126	1742	5118
127	1757	5109
128	1774	5103
129	1794	5108
130	1812	5105
131	1828	5097
132	1840	5079
133	1852	5061
134	1872	5062
135	1890	5061
136	1905	5050
137	1923	5046
